评论内容,评论时间,评论人等级,评论类型,评论内容-新,情感分值
前天还在辽宁博物馆去看了，就在慕容鲜卑的展厅,2021-08-22 06:28:33,5,评论,前天还在辽宁博物馆去看了，就在慕容鲜卑的展厅,0.9159
好奇问一下，古代有焊接技术么？,2021-08-22 01:30:14,4,评论,好奇问一下，古代有焊接技术么？,0.0579
太牛了！,2021-08-21 22:06:20,4,评论,太牛了！,0.4622
[支持],2021-08-21 18:08:43,5,评论,,0.5669
漂亮,2021-08-21 10:37:42,3,评论,漂亮,0.9661
牛皮,2021-08-21 08:38:22,5,评论,牛皮,0.3597
想看服装制作！,2021-08-21 01:34:46,4,评论,想看服装制作！,0.6838
古人诚不欺我,2021-08-21 00:08:34,4,评论,古人诚不欺我,0.8302
强👍,2021-08-21 00:07:27,6,评论,强👍,0.8002
牛逼,2021-08-20 20:45:58,6,评论,牛逼,0.6885
我有一个保色铜低配版的大神同款[脱单doge],2021-08-20 20:45:01,4,评论,我有一个保色铜低配版的大神同款,0.8749
www我最爱的一个文物,2021-08-20 20:34:17,5,评论,w我最爱的一个文物,0.9693
步摇太好看了，后面模特展示太有感觉了！,2021-08-20 20:28:00,5,评论,步摇太好看了，后面模特展示太有感觉了！,0.8818
好好看[给心心],2021-08-20 19:51:46,3,评论,好看,0.9825
原型是这个(°∀°)ﾉ【《如果国宝会说话 第三季》 第7集 花树状金步摇-哔哩哔哩纪录片】https://b23.tv/ep328277,2021-08-20 17:05:28,6,评论,原型是这个(°∀°)ﾉ【《如果国宝会说话 第三季》 第7集 花树状金步摇-哔哩纪录片】htps:/b23.tv/ep32827,0.8435
原来这个是这样戴的,2021-08-20 16:54:10,5,评论,原来这个是这样戴的,0.4312
哈哈哈哈 这个我买了皇家的 真的超级好看,2021-08-20 14:12:48,6,评论,哈 这个我买了皇家的 真的超级好看,0.9986
亲爱的可以告知淘宝店铺吗？我也想买一个,2021-08-30 15:48:53,4,回复,亲爱的可以告知淘宝店铺吗？我也想买一个,0.5599
回复 @you1990722 :皇家传承  专门卖传统工艺的 但是没有她这个大小一些  价格当时是新品加店庆不知道还做不做了,2021-08-30 19:11:57,6,回复,回复 @you19072 :皇家传承 专门卖传统工艺的 但是没有她这个大小一些 价格当时是新品加店庆不知道还做不做了,0.6105
？这玩意原来这么小啊,2021-08-20 14:03:32,6,评论,？这玩意原来这么小啊,0.036
好强。。。,2021-08-20 12:15:07,5,评论,好强。,0.9153
太好看了吧金步摇！！！,2021-08-20 10:28:16,4,评论,太好看了吧金步摇！,0.8244
最后的配乐叫什么？,2021-08-20 10:03:28,5,评论,最后的配乐叫什么？,0.165
yyds[热词系列_三连][热词系列_神仙UP],2021-08-20 08:57:12,5,评论,yds,0.6055
每次你们发视频我都不禁自问，我到底关注的是什么神仙？我到底是不是个人？我是个傻子吗？,2021-08-20 06:48:34,6,评论,每次你们发视频我都不禁自问，我到底关注的是什么神仙？我到底是不是个人？我是个傻子吗？,0.0082
币已献上[我家大师兄脑子有坑_撒花],2021-08-20 05:40:16,4,评论,币已献上,0.4076
想到古代人没有这些先进的器材，就更感到敬佩了,2021-08-20 02:21:29,5,评论,想到古代人没有这些先进的器材，就更感到敬佩了,0.8985
在中华服饰之美那期视频就一眼看中了这个步摇冠，单看不觉得，但上头凹好造型真得太美了[星星眼],2021-08-20 02:17:27,5,评论,在中华服饰之美那期视频就一眼看中了这个步摇冠，单看不觉得，但上头凹好造型真得太美了,0.9795
太厉害了,2021-08-20 01:32:35,5,评论,太厉害了,0.2457
当时看视频就最喜欢这个发饰！走起来布灵布灵的,2021-08-20 01:09:07,6,评论,当时看视频就最喜欢这个发饰！走起来布灵的,0.9836
啊啊啊啊[热词系列_三连][热词系列_三连],2021-08-20 00:29:33,6,评论,啊,0.5874
雁鸿！请问把缝隙锯空的时候锯子是怎么穿进去的呀！,2021-08-20 00:10:09,6,评论,雁鸿！请问把缝隙锯空的时候锯子是怎么穿进去的呀！,0.054
先打个孔，把线穿过去，再这样这样那样那样,2021-08-20 03:37:05,5,回复,先打个孔，把线穿过去，再这样那样,0.1563
难得这么早呀！！！！！！,2021-08-19 23:37:25,5,评论,难得这么早呀！,0.8767
up注意安全带个手套吧，我看着那个锯子还有打磨怪孩怕的。不过成品绝了！,2021-08-19 23:33:06,5,评论,up注意安全带个手套吧，我看着那个锯子还有打磨怪孩怕的。不过成品绝了！,0.6104
膜拜大佬⊙▽⊙,2021-08-19 23:31:34,6,评论,膜拜大佬⊙▽⊙,0.8639
先赞后看！,2021-08-19 23:30:02,6,评论,先赞后看！,0.9851
好看好看好看,2021-08-19 23:09:08,5,评论,好看,0.9825
注意安全啊，手上好多创可贴,2021-08-19 23:06:37,3,评论,注意安全啊，手上好多创可贴,0.5381
想要,2021-08-19 23:00:57,4,评论,想要,0.8093
突然感到特别宁静,2021-08-19 22:51:57,4,评论,突然感到特别宁静,0.9316
终极奥义：花丝镶嵌[热词系列_知识增加],2021-08-19 22:49:28,5,评论,终极奥义：花丝镶嵌,0.7856
还记得第一次看雁鸿是在百度[妙啊],2021-08-19 22:48:05,5,评论,还记得第一次看雁鸿是在百度,0.948
想问问怎么镀金！那个镀金是什么仪器特别想学习一下！,2021-08-19 22:43:34,6,评论,想问怎么镀金！那个镀金是什么仪器特别想学习一下！,0.1394
要不要手上戴个护具啊 总担心你的手指 还是有点危险的,2021-08-19 22:42:58,5,评论,要不要手上戴个护具啊 总担心你的手指 还是有点危险的,0.3311
太牛了,2021-08-19 22:32:53,3,评论,太牛了,0.4432
上头效果好好,2021-08-19 22:26:43,3,评论,上头效果好,0.9824
小姐姐跑起来的时候，步摇上的树叶美极了！,2021-08-19 22:21:53,5,评论,小姐跑起来的时候，步摇上的树叶美极了！,0.696
[OK]跟隔壁才哥联动一下,2021-08-19 22:21:44,4,评论,跟隔壁才哥联动一下,0.3092
好好看！！！,2021-08-19 22:19:44,6,评论,好看！,0.9727
来了来了[打call],2021-08-19 22:19:28,4,评论,来了,0.563
两个圆圆的硬币能换来和雁鸿小姐姐一样的巧手吗[星星眼],2021-08-19 22:15:14,0,评论,两个圆的硬币能换来和雁鸿小姐一样的巧手吗,0.0722
姐姐好厉害[打call],2021-08-19 22:14:15,4,评论,姐好厉害,0.9432
好看,2021-08-19 22:08:56,5,评论,好看,0.9825
好厉害，i了i了,2021-08-19 22:05:50,4,评论,好厉害，i了,0.9446
这个戴法不如想象中的好看啊,2021-08-19 22:04:38,5,评论,这个戴法不如想象中的好看啊,0.3782
[打call][打call][打call],2021-08-19 22:04:26,4,评论,,0.5669
美,2022-03-09 12:19:30,5,评论,美,0.9664
太棒了٩(๑^o^๑)۶,2022-03-08 22:27:46,6,评论,太棒了٩(๑^o^๑)۶,0.9495
原来是这么戴的呀。get了。,2022-03-07 13:31:04,4,评论,原来是这么戴的呀。get了。,0.5765
最后的bgm是啥呀，我听歌识曲都找不到[笑哭],2022-03-06 21:55:19,5,评论,最后的bgm是啥呀，我听歌识曲都找不到,0.4196
一開始，好怪的步搖，後來，真好看真香,2022-02-17 18:29:26,6,评论,一開始，好怪的步搖，後來，真好看真香,0.9649
有这样的系列吗？,2022-02-15 19:50:09,5,评论,有这样的系列吗？,0.0564
戴上真好看，小姐姐也漂亮，妈妈的手工也好，还有背景音乐真好听，求音乐名。,2022-02-15 12:19:01,5,评论,戴上真好看，小姐也漂亮，妈的手工也好，还有背景音乐真好听，求音乐名。,0.9944
我的天，最后好看呀！我当时看文物的时候，还想“这满头树枝子也太张狂了，古代人的审美，真心迷惑”，原来是这样带！[笑哭][笑哭][笑哭]幸亏我没乱说，丢人啦。,2022-02-14 23:22:40,5,评论,我的天，最后好看呀！我当时看文物的时候，还想“这满头树枝子也太张狂了，古代人的审美，真心迷惑”，原来是这样带！幸亏我没乱说，丢人啦。,0.4806
太好看了叭！！！！！！！！这才是头饰啊！！！！一步一轻摇，太美了！！！！,2022-02-13 19:55:44,6,评论,太好看了叭！这才是头饰啊！一步一轻摇，太美了！,0.988
真滴好看,2022-02-12 18:38:04,3,评论,真滴好看,0.9925
up.太厉害了,2022-02-12 15:00:59,6,评论,up.太厉害了,0.1409
姐姐很大家闺秀,2022-02-03 14:55:38,4,评论,姐很大家闺秀,0.8281
真滴好看,2022-02-12 18:38:04,3,评论,真滴好看,0.9925
up.太厉害了,2022-02-12 15:00:59,6,评论,up.太厉害了,0.1409
姐姐很大家闺秀,2022-02-03 14:55:38,4,评论,姐很大家闺秀,0.8281
